YEAR,BENE_GEO_DESC,Avg_Payment_Per_Capita
2014,FL-Hillsborough,11523.04
2014,FL-Holmes,9308.46
2014,FL-Indian River,9496.52
2014,FL-Jackson,9013.8
2014,FL-Lake,10148.07
2014,FL-Lee,9726.09
2014,FL-Leon,9264.9
2014,FL-Levy,10074.78
2014,FL-Manatee,9949.37
2014,FL-Marion,9969.72
2014,FL-Martin,10044.27
2014,FL-Miami-Dade,16322.37
2014,FL-Nassau,9557.0
2014,FL-Okaloosa,9123.84
2014,FL-Orange,11392.48
2014,FL-Osceola,10916.34
2014,FL-Palm Beach,12237.42
2014,FL-Pasco,10675.13
2014,FL-Pinellas,11654.34
2014,FL-Polk,10395.4
2014,FL-Putnam,10773.69
2014,FL-Santa Rosa,9064.6
2014,FL-Sarasota,9361.07
2014,FL-Seminole,11031.73
2014,FL-St. Johns,9656.6
2014,FL-St. Lucie,10791.98
2014,FL-Sumter,8948.71
2014,FL-Suwannee,9635.16
2014,FL-Taylor,8942.66
2014,FL-Volusia,9742.37
2014,FL-Wakulla,9522.99
2014,FL-Walton,8739.09
2014,FL-Washington,8961.78
2014,GA,9594.796666666667
2014,GA-Appling,8904.24
2014,GA-Baldwin,9573.56
2014,GA-Barrow,9291.82
2014,GA-Bartow,9868.12
2014,GA-Bibb,10674.67
2014,GA-Bulloch,9819.86
2014,GA-Burke,9183.33
2014,GA-Camden,9218.03
2014,GA-Carroll,8882.82
2014,GA-Catoosa,9225.57
2014,GA-Chatham,9348.64
2014,GA-Cherokee,8834.28
2014,GA-Clarke,8639.05
2014,GA-Clayton,10270.43
2014,GA-Cobb,9131.89
2014,GA-Coffee,10253.75
2014,GA-Colquitt,10327.47
2014,GA-Columbia,8127.75
2014,GA-Coweta,8513.88
2014,GA-DeKalb,9613.54
2014,GA-Dougherty,9180.83
2014,GA-Douglas,9758.36
2014,GA-Effingham,8511.17
2014,GA-Elbert,7763.12
2014,GA-Fayette,8134.84
2014,GA-Floyd,9605.44
2014,GA-Forsyth,9147.79
2014,GA-Franklin,8743.8
2014,GA-Fulton,10123.43
2014,GA-Glynn,8843.24
2014,GA-Gordon,8876.24
2014,GA-Greene,8270.99
2014,GA-Gwinnett,8990.91
2014,GA-Habersham,8121.32
2014,GA-Hall,8797.45
2014,GA-Haralson,8882.37
2014,GA-Hart,8769.52
2014,GA-Henry,8541.02
2014,GA-Houston,9770.91
2014,GA-Jackson,8607.36
2014,GA-Jefferson,9525.66
2014,GA-Jones,8910.18
2014,GA-Laurens,9234.84
2014,GA-Lee,8048.62
2014,GA-Lowndes,8739.2
2014,GA-Monroe,9708.47
2014,GA-Muscogee,9458.14
2014,GA-Newton,9381.33
2014,GA-Paulding,9281.67
2014,GA-Polk,9758.92
2014,GA-Richmond,8815.86
2014,GA-Rockdale,9678.86
2014,GA-Stephens,9096.92
2014,GA-Thomas,8883.59
2014,GA-Troup,9005.05
2014,GA-Upson,8347.55
2014,GA-Walker,9118.2
2014,GA-Walton,9562.7
2014,GA-Ware,9177.28
2014,GA-Wayne,10580.01
2014,GA-Whitfield,8083.12
2014,HI,6799.93
2014,IA,8240.146666666667
2014,IA-Black Hawk,8773.2
2014,IA-Clinton,8813.88
2014,IA-Jasper,6526.18
2014,IA-Linn,7827.36
2014,IA-Muscatine,8363.29
2014,IA-Polk,7446.39
2014,IA-Pottawattamie,8141.92
2014,IA-Scott,8768.14
2014,IA-Woodbury,8361.01
2014,ID,8013.176666666666
2014,ID-Ada,7754.37
2014,ID-Bannock,8960.66
2014,ID-Canyon,8032.35
2014,ID-Elmore,7263.6
2014,ID-Kootenai,7590.59
2014,ID-Twin Falls,8529.71
2014,IL,10485.539999999999
2014,IL-Coles,9594.44
2014,IL-Cook,11690.11
2014,IL-DeKalb,9002.96
2014,IL-DuPage,9597.36
2014,IL-Franklin,9345.12
2014,IL-Grundy,10004.21
2014,IL-Henry,8158.24
2014,IL-Jackson,8939.61
2014,IL-Jefferson,9220.1
2014,IL-Kane,10064.86
2014,IL-Kankakee,10350.23
2014,IL-Kendall,9389.48
2014,IL-Knox,8486.33
2014,IL-LaSalle,9036.23
2014,IL-Lake,9821.22
2014,IL-Macon,8710.29
2014,IL-Madison,9094.18
2014,IL-Marion,10034.55
2014,IL-McHenry,9581.75
2014,IL-McLean,7579.47
2014,IL-Ogle,9317.09
2014,IL-Peoria,8258.92
2014,IL-Rock Island,8790.96
2014,IL-Saline,8741.48
2014,IL-Sangamon,8626.26
2014,IL-St. Clair,9610.13
2014,IL-Tazewell,8258.78
2014,IL-Whiteside,9125.85
2014,IL-Will,10516.36
2014,IL-Williamson,8754.9
2014,IL-Winnebago,9007.59
2014,IN,9686.083333333334
2014,IN-Allen,8908.91
2014,IN-Bartholomew,8653.83
2014,IN-Boone,9457.69
2014,IN-Cass,9255.93
2014,IN-Clark,10539.61
2014,IN-Daviess,9672.7
2014,IN-Dearborn,8651.38
2014,IN-Delaware,9365.54
2014,IN-Elkhart,8721.94
2014,IN-Fayette,8727.05
2014,IN-Floyd,9621.42
2014,IN-Gibson,9686.65
2014,IN-Grant,9078.61
2014,IN-Hamilton,8898.06
2014,IN-Hancock,8459.3
2014,IN-Hendricks,9126.45
2014,IN-Henry,9261.58
2014,IN-Howard,9256.75
2014,IN-Johnson,8669.61
2014,IN-Knox,10044.18
2014,IN-Kosciusko,8050.85
2014,IN-LaPorte,9079.1
2014,IN-Lake,11609.29
2014,IN-Lawrence,8535.71
2014,IN-Madison,9610.09
2014,IN-Marion,10881.33
2014,IN-Marshall,8573.02
2014,IN-Miami,8274.83
2014,IN-Monroe,7616.18
2014,IN-Montgomery,8507.64
2014,IN-Morgan,8400.73
2014,IN-Noble,7907.58
2014,IN-Porter,10050.88
2014,IN-Putnam,9119.65
2014,IN-Randolph,8456.72
2014,IN-Shelby,9698.76
2014,IN-St. Joseph,8968.29
2014,IN-Tippecanoe,9369.62
2014,IN-Vanderburgh,9615.84
2014,IN-Vigo,10364.06
2014,IN-Wabash,8051.38
2014,IN-Warrick,8423.87
2014,IN-Wayne,9822.66
2014,KS,9067.156666666668
2014,KS-Atchison,9274.21
2014,KS-Butler,7851.07
2014,KS-Cherokee,8875.4
2014,KS-Cowley,7667.34
2014,KS-Crawford,8909.4
2014,KS-Douglas,7833.0
2014,KS-Jackson,8876.5
2014,KS-Johnson,9111.83
2014,KS-Labette,8852.27
2014,KS-Leavenworth,9000.86
2014,KS-Montgomery,8318.73
2014,KS-Reno,8494.02
2014,KS-Saline,8222.4
2014,KS-Sedgwick,8589.45
2014,KS-Shawnee,8636.31
2014,KS-Sumner,7197.17
2014,KS-Wyandotte,11027.99
2014,KY,8821.706666666667
2014,KY-Allen,9096.24
2014,KY-Boone,9655.09
2014,KY-Bourbon,8752.35
2014,KY-Boyd,9493.91
2014,KY-Bullitt,8931.17
2014,KY-Campbell,9643.69
2014,KY-Christian,8320.24
2014,KY-Clark,9115.27
2014,KY-Daviess,8792.95
2014,KY-Fayette,9141.35
2014,KY-Floyd,8884.91
2014,KY-Franklin,12029.95
2014,KY-Garrard,8248.54
2014,KY-Greenup,9418.12
2014,KY-Hardin,8094.89
2014,KY-Henderson,8953.31
2014,KY-Hopkins,7696.66
2014,KY-Jefferson,9418.64
2014,KY-Jessamine,8258.24
2014,KY-Kenton,9679.54
2014,KY-Knox,8234.97
2014,KY-Laurel,8168.85
2014,KY-Logan,8832.4
2014,KY-Madison,8534.15
2014,KY-McCracken,8510.03
2014,KY-Nelson,8327.45
2014,KY-Oldham,8242.35
2014,KY-Pike,8300.23
2014,KY-Pulaski,8121.52
2014,KY-Scott,8823.8
2014,KY-Shelby,8700.03
2014,KY-Warren,9393.84
2014,KY-Whitley,9008.21
2014,LA,10689.57
2014,LA-Acadia,10032.34
2014,LA-Allen,9464.17
2014,LA-Ascension,10023.23
2014,LA-Assumption,9461.9
2014,LA-Avoyelles,10607.09
2014,LA-Beauregard,10859.66
2014,LA-Bossier,10512.85
2014,LA-Caddo,10970.25
2014,LA-Calcasieu,9517.82
2014,LA-Caldwell,13060.67
2014,LA-Concordia,11133.22
2014,LA-DeSoto,10880.42
2014,LA-East Baton Rouge,10439.29
2014,LA-Evangeline,11524.34
2014,LA-Franklin,12132.44
2014,LA-Grant,9153.41
2014,LA-Iberia,9274.98
2014,LA-Iberville,10838.7
2014,LA-Jackson,10303.13
2014,LA-Jefferson,10396.5
2014,LA-Jefferson Davis,10331.45
2014,LA-Lafayette,9760.35
2014,LA-Lafourche,9013.61
2014,LA-Lincoln,9945.64
2014,LA-Livingston,10817.56
2014,LA-Natchitoches,10476.02
2014,LA-Orleans,11757.74
2014,LA-Ouachita,10977.14
2014,LA-Plaquemines,10805.83
2014,LA-Pointe Coupee,10538.94
2014,LA-Rapides,9923.71
2014,LA-Sabine,9368.38
2014,LA-St. Bernard,12625.12
2014,LA-St. Charles,9798.91
2014,LA-St. James,9451.66
2014,LA-St. John the Baptist,10032.29
2014,LA-St. Landry,10541.97
2014,LA-St. Martin,9697.45
2014,LA-St. Mary,9813.63
2014,LA-St. Tammany,10971.66
2014,LA-Tangipahoa,12435.05
2014,LA-Terrebonne,9007.86
2014,LA-Union,11631.77
2014,LA-Vermilion,9441.58
2014,LA-Vernon,10424.09
2014,LA-Washington,12589.62
2014,LA-Webster,10703.58
2014,LA-West Baton Rouge,11347.96
2014,LA-West Carroll,11239.24
2014,LA-Winn,11228.39
2014,MA,10894.653333333334
2014,MA-Barnstable,10484.0
2014,MA-Berkshire,10184.29
2014,MA-Bristol,10576.99
2014,MA-Essex,10686.57
2014,MA-Franklin,8863.94
2014,MA-Hampden,10099.87
2014,MA-Hampshire,8942.2
2014,MA-Middlesex,10911.76
2014,MA-Norfolk,11523.9
2014,MA-Plymouth,11248.7
2014,MA-Suffolk,12456.32
2014,MA-Worcester,10809.08
2014,MD,12299.836666666668
2014,MD-Anne Arundel,10372.43
2014,MD-Carroll,10791.89
2014,MD-Cecil,11469.71
2014,MD-Charles,10471.85
2014,MD-Montgomery,9657.83
2014,MD-Prince George's,11607.23
2014,MD-St. Mary's,10524.97
2014,MD-Washington,10430.8
2014,MD-Wicomico,10935.27
2014,MD-Worcester,10491.43
2014,ME,8194.19
2014,ME-Sagadahoc,7640.93
2014,ME-York,8335.53
2014,MI,10342.753333333332
2014,MI-Allegan,8765.13
2014,MI-Barry,8328.0
2014,MI-Bay,9928.83
2014,MI-Berrien,8826.1
2014,MI-Branch,8620.3
2014,MI-Calhoun,9567.92
2014,MI-Cass,8696.43
2014,MI-Clinton,9080.87
2014,MI-Eaton,9453.57
2014,MI-Genesee,12592.65
2014,MI-Ingham,10257.53
2014,MI-Ionia,8553.61
2014,MI-Iosco,8337.3
2014,MI-Jackson,10034.55
2014,MI-Kalamazoo,8807.67
2014,MI-Kent,9300.9
2014,MI-Lapeer,10286.57
2014,MI-Lenawee,8625.71
2014,MI-Livingston,9269.32
2014,MI-Macomb,11530.21
2014,MI-Marquette,7417.68
2014,MI-Mason,8261.94
2014,MI-Midland,8572.95
2014,MI-Monroe,10317.49
2014,MI-Montcalm,8641.56
2014,MI-Muskegon,9008.21
2014,MI-Newaygo,8198.33
2014,MI-Oakland,11385.56
2014,MI-Oceana,8456.54
2014,MI-Ottawa,8386.73
2014,MI-Saginaw,10075.19
2014,MI-Sanilac,9274.81
2014,MI-Shiawassee,9076.24
2014,MI-St. Clair,9223.69
2014,MI-St. Joseph,8445.8
2014,MI-Tuscola,9709.07
2014,MI-Van Buren,9344.69
2014,MI-Washtenaw,9731.8
2014,MI-Wayne,12802.89
2014,MN,8946.226666666667
2014,MN-Anoka,8964.74
2014,MN-Benton,9200.21
2014,MN-Dakota,8943.04
2014,MN-Hennepin,9557.16
2014,MN-Otter Tail,8224.36
2014,MN-Ramsey,9359.33
2014,MN-Scott,8260.98
2014,MN-Washington,8258.14
2014,MO,9357.486666666666
2014,MO-Barry,8301.32
2014,MO-Boone,7954.84
2014,MO-Buchanan,10003.04
2014,MO-Butler,8445.2
2014,MO-Callaway,8005.18
2014,MO-Camden,7733.62
2014,MO-Cape Girardeau,7767.03
2014,MO-Cass,9213.0
2014,MO-Christian,7434.33
2014,MO-Clay,9195.55
2014,MO-Cole,7756.58
2014,MO-Dunklin,9163.67
2014,MO-Franklin,8989.85
2014,MO-Greene,8128.14
